"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$Reparse"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"100"	"32"	"438c56f2230bcf7df5efd2ea1baa569c"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"1048576"	"32"	"b6d81b360a5672d80c27430f39153e2c"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"65536"	"33"	"beafaad55bb6820c6e0f4542ee6ab97b"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2097152"	"34"	"50bea8d9417be64e10f147ecdf0cd3d8"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
"$TxfLogContainer00000000000000000002"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2097152"	"35"	"b2d1236c286a3c0704224fe4105eca49"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002"
"$LogFile"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2097152"	"2"	"89a4377cc4f6e3ed385e862843d47773"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$LogFile"
"$MFT"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"262144"	"0"	"bc2c56797f4fff0be4e698fddfff4ec8"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$MFT"
"$MFTMirr"	""	"r"	""	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"2025-12-03 11:08:08 IST"	"4096"	"1"	"6281ec34526295d2a91e9b910dd708da"	"unknown"	"rr-xr-xr-x"	"/img_usb evidence.E01/vol_vol2/$MFTMirr"
"$I1JGR6H"	""	"r"	""	"2025-12-03 11:09:45 IST"	"2025-12-03 11:09:45 IST"	"2025-12-03 11:09:45 IST"	"78"	"51"	"9653293cd44ba2d549ac825c1a177e6b"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$I1JGR6H"
"$IKLH6N2.txt"	".txt"	"r"	""	"2025-12-03 11:10:17 IST"	"2025-12-03 11:10:17 IST"	"2025-12-03 11:10:17 IST"	"72"	"54"	"347d1e6517db5a0f500dad77c941934a"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$IKLH6N2.txt"
"$IWWNJOK.txt"	".txt"	"r"	""	"2025-12-03 11:10:17 IST"	"2025-12-03 11:10:17 IST"	"2025-12-03 11:10:17 IST"	"74"	"55"	"2a8728f85ff78d0ffa61f60dd9e1f10e"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$IWWNJOK.txt"
"IMG 1.jpg"	".jpg"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:48:21 IST"	"53673"	"45"	"6da7f1eb316685fd6bf87027aa1829c7"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 1.jpg"
"IMG 1.jpg-slack"	".jpg-slack"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:48:21 IST"	"3671"	"45"	"null"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 1.jpg-slack"
"IMG 2.png"	".png"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-01 22:37:17 IST"	"87205"	"46"	"3b2af94b95b071f659516ac43edb06c4"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 2.png"
"IMG 2.png-slack"	".png-slack"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-01 22:37:17 IST"	"2907"	"46"	"null"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 2.png-slack"
"IMG 3.png"	".png"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:22:48 IST"	"85740"	"47"	"926afb51ef3658035777cb1ad1b90001"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 3.png"
"IMG 3.png-slack"	".png-slack"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:22:48 IST"	"276"	"47"	"null"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 3.png-slack"
"IMG 4.png"	".png"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:25:43 IST"	"91059"	"48"	"5da2241049d419fef283b77d5704c558"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 4.png"
"IMG 4.png-slack"	".png-slack"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:25:43 IST"	"3149"	"48"	"null"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 4.png-slack"
"IMG 5.png"	".png"	"r"	""	"2025-12-03 11:09:40 IST"	"2025-12-03 11:09:40 IST"	"2025-12-02 19:30:59 IST"	"179454"	"49"	"82acae8ddd293e718db3fb2166148cf8"	"unknown"	"rrwxrwxrwx"	"/img_usb evidence.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2522799979-146082274-3392563778-1004/$R1JGR6H/IMG 5.png"
